,file,predicted 1,predicted 2,predicted 3,x,y,z
4665,50297-O.jpg,INTERIOR DESIGN,DESIGN THEORY,GRAPHICS,8.547633,4.354106,3.4225295
4666,5030-O (©CoID).jpg,TEXTILES,WALLPAPER,CARPETS,2.2747197,8.721342,3.9390395
4667,5031-O (©CoID).jpg,TEXTILES,CARPETS,WALLPAPER,2.2620726,9.028949,4.5061398
4668,"5032-O (Dennis Hooker F.I.B.P., F.R.P.S.).jpg",TABLEWARE,CERAMICS,OPTICAL,3.6106694,0.28867543,8.672159
4669,"5033-O (Dennis Hooker, F.I.B.P, F.R.P.S, out of production do not use).jpg",OPTICAL,TABLEWARE,OTHER,2.7336984,5.7448535,4.172982
4670,5034-O (©CoID).jpg,CERAMICS,TABLEWARE,SOUVENIRS,2.386559,0.45951653,9.742535
4671,5035-O (©CoID).jpg,TABLEWARE,CERAMICS,ORNAMENTS,3.7609987,-0.27593717,8.690545
4672,5036-O (©CoID).jpg,TABLEWARE,CERAMICS,SOUVENIRS,3.7435062,-0.20606358,8.696795
4673,5037-O (©CoID).jpg,TABLEWARE,CERAMICS,ORNAMENTS,4.156365,-0.19853823,8.317322
4674,5038-O (©CoID).jpg,TABLEWARE,DOMESTIC APPLIANCES,ORNAMENTS,4.1848683,-0.35887912,7.520773
4675,5039-O (©CoID).jpg,TABLEWARE,CERAMICS,INTERIOR DESIGN,4.36997,-0.28924924,7.942541
4676,5031+2-O.jpg,FURNITURE,INTERIOR DESIGN,ORNAMENTS,11.528486,7.591722,5.645649
4677,503105-106-O.jpg,HEATING,DOMESTIC APPLIANCES,TELECOMMUNICATIONS,7.514894,2.633169,5.842889
4678,503107-108-O.jpg,DESIGN THEORY,GRAPHICS,TOYS,4.274937,3.9253583,3.7263527
4679,503111-112-O.jpg,TELECOMMUNICATIONS,DOMESTIC APPLIANCES,HEATING,7.3666415,2.6728694,6.0094314
4680,503119-O.jpg,TRANSPORT,GRAPHICS,DESIGN THEORY,8.674383,3.9971619,3.756811
4681,50312+13-O.jpg,TOOLS,ENGINEERING,SCIENTIFIC EQUIPMENT,7.626799,1.0544969,6.4556055
4682,503123-O.jpg,CERAMICS,TABLEWARE,SOUVENIRS,2.9003663,0.37143904,9.109833
4683,503135-136-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,TRANSPORT,GRAPHICS,8.3388815,2.4715664,5.4188347
4684,50314+15-O.jpg,ARCHITECTURE,INTERIOR DESIGN,TRANSPORT,8.561599,4.3825564,3.4557219
4685,503163-164-O.jpg,TRANSPORT,ENGINEERING,INDUSTRIAL AND MANUFACTURING PROCESSES,9.043974,2.410778,4.407234
4686,503167-168-O.jpg,TRANSPORT,GRAPHICS,INDUSTRIAL AND MANUFACTURING PROCESSES,9.149189,2.6380088,4.0521445
4687,503169-170-O.jpg,ARCHITECTURE,TRANSPORT,GRAPHICS,8.53213,4.614294,3.430452
4688,503175-176-O.jpg,INDUSTRIAL AND MANUFACTURING PROCESSES,DESIGN THEORY,ARCHITECTURE,8.250525,4.3869777,4.0486975
4689,503183-184-O.jpg,OTHER,TRAVEL GOODS,MUSICAL INSTRUMENTS,6.8096967,3.0170639,5.75593
4690,503186-187-O.jpg,TRAVEL GOODS,FURNITURE,OTHER,5.5617013,3.7226887,5.895516
4691,503197-198-O.jpg,TOYS,DOMESTIC APPLIANCES,ENGINEERING,7.510939,1.7744299,5.517939
4692,50320+21-O.jpg,LIGHTING,SCIENTIFIC EQUIPMENT,HEATING,7.090375,1.3230822,8.282179
4693,503202-203-O.jpg,OTHER,ARCHITECTURE,TRANSPORT,8.722427,3.5372992,3.6372542
4694,503208+209-O.jpg,TRANSPORT,INTERIOR DESIGN,INDUSTRIAL AND MANUFACTURING PROCESSES,8.372614,2.5760794,5.3918676
4695,503211+212-O.jpg,GRAPHICS,PORTRAITS,INDUSTRIAL AND MANUFACTURING PROCESSES,7.02773,4.7911887,4.0536838
4696,503245-O.jpg,ENGINEERING,SCIENTIFIC EQUIPMENT,HEATING,8.272352,1.785082,5.603187
4697,503259-O.jpg,SCIENTIFIC EQUIPMENT,DOMESTIC APPLIANCES,ENGINEERING,8.1149235,1.8433284,5.752819
4698,503260-O.jpg,LIGHTING,OTHER,ENGINEERING,7.377911,1.1764741,8.1124115
4699,503261-262-O.jpg,TABLEWARE,DOMESTIC APPLIANCES,OTHER,5.031014,0.39481646,7.6623693
4700,503267-268-O.jpg,CERAMICS,TABLEWARE,OTHER,3.731088,-0.05756085,8.83107
4701,503269-270-O.jpg,CERAMICS,TABLEWARE,OTHER,2.3569047,0.54970706,9.443445
4702,503271-272-O.jpg,CERAMICS,TABLEWARE,OTHER,2.3782954,0.45615414,9.5852785
4703,503289-290-O.jpg,OTHER,JEWELLERY,DESIGN THEORY,6.905207,1.775052,6.143539
4704,503293-294-O.jpg,ARCHITECTURE,GRAPHICS,TRANSPORT,8.545411,4.617712,3.3172708
4705,503298-O.jpg,TRANSPORT,INTERIOR DESIGN,INDUSTRIAL AND MANUFACTURING PROCESSES,8.900415,3.62881,3.860323
4706,5033+4-O.jpg,FURNITURE,DESIGN THEORY,INTERIOR DESIGN,11.072973,7.456905,7.0797114
4707,503301+302-O.jpg,TRANSPORT,INDUSTRIAL AND MANUFACTURING PROCESSES,OTHER,9.130804,2.487597,4.211733
4708,503315-O.jpg,OTHER,ARCHITECTURE,ORNAMENTS,8.587947,2.7798629,3.7829683
4709,503350+351-O.jpg,FURNITURE,DESIGN THEORY,OTHER,10.733373,6.8550544,7.3321996
4710,50336-O.jpg,OTHER,LIGHTING,TOYS,8.480852,2.8859522,3.8985476
4711,503360-O.jpg,TOYS,TRANSPORT,OTHER,8.393143,2.772378,3.9908683
4712,503363+364-O.jpg,CERAMICS,TABLEWARE,SOUVENIRS,3.6412113,0.7037511,8.259161
4713,50337-O.jpg,TRANSPORT,ARCHITECTURE,INTERIOR DESIGN,8.944252,3.5401,3.8562615
4714,503372+373-O.jpg,FURNITURE,ORNAMENTS,OTHER,11.518139,7.0504985,7.3897285
4715,503375-O.jpg,FURNITURE,INTERIOR DESIGN,HEATING,10.752779,7.901731,5.1260943
