,file,predicted1,predicted2,predicted3,x,y,z
1038,206-to-31-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.144872,7.5082445,8.597401
1039,206-to-32-H-O--one-with-the-same-code-.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.159987,7.4913516,8.611318
1040,206-to-32-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.181268,7.5410748,8.618016
1041,206-to-33-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.308016,7.485485,8.762497
1042,206-to-34-O.jpg,FURNITURE,INTERIOR DESIGN,ORNAMENTS,13.186755,7.4898686,8.643186
1043,206-to-35-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.13974,7.5277805,8.584371
1044,206-to-36-H-O.jpg,FURNITURE,CLOTHING,INTERIOR DESIGN,13.283037,7.5061173,8.735394
1045,206-to-38-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.212992,7.496485,8.653952
1046,206-to-39-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.262439,7.516195,8.710364
1047,206-to-40-H-O.jpg,FURNITURE,OFFICE EQUIPMENT,CLOTHING,13.030326,7.611173,8.406608
1048,206-to-41-H-O.jpg,FURNITURE,ORNAMENTS,INTERIOR DESIGN,13.085021,7.5950055,8.461823
1049,206-to-42-H-O.jpg,FURNITURE,ORNAMENTS,INTERIOR DESIGN,13.265487,7.506077,8.704431
1050,206-to-43-H-O.jpg,FURNITURE,ORNAMENTS,OTHER,12.883509,7.543429,8.179118
1051,206-to-44-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.251406,7.5195384,8.68993
1052,206-to-45-H-O.jpg,FURNITURE,OFFICE EQUIPMENT,ORNAMENTS,13.091626,7.581445,8.4752035
1053,206-to-46-H-O.jpg,FURNITURE,ORNAMENTS,CLOTHING,13.015449,7.564056,8.368534
1054,206-to-47-H-O.jpg,FURNITURE,OFFICE EQUIPMENT,ORNAMENTS,13.111832,7.5877433,8.498421
1055,206-to-48-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.168634,7.5723476,8.57751
1056,206-to-49-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.303071,7.491732,8.755548
1057,206-to-5-H-O.jpg,FURNITURE,INTERIOR DESIGN,ORNAMENTS,13.276772,7.509939,8.728783
1058,206-to-50-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.304465,7.504033,8.75884
1059,206-to-52-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,12.968028,7.5918994,8.303339
1060,206-to-53-H-O.jpg,FURNITURE,INTERIOR DESIGN,CLOTHING,12.214288,7.34885,7.682192
1061,206-to-54-H-O.jpg,FURNITURE,ORNAMENTS,CLOTHING,13.10067,7.594393,8.486919
1062,206-to-55-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.186108,7.593054,8.596198
1063,206-to-56-H-O.jpg,FURNITURE,INTERIOR DESIGN,ORNAMENTS,12.150245,7.304127,7.6251173
1064,206-to-57-H-O.jpg,FURNITURE,OFFICE EQUIPMENT,ORNAMENTS,12.986517,7.603901,8.314972
1065,206-to-58-H-O.jpg,FURNITURE,ORNAMENTS,CLOTHING,13.163866,7.556224,8.581796
1066,206-to-59-H-O.jpg,FURNITURE,ORNAMENTS,CLOTHING,13.160615,7.609599,8.563701
1067,206-to-6-H-O.jpg,FURNITURE,ORNAMENTS,CLOTHING,12.934467,7.5092244,8.317814
1068,206-to-60-H-O.jpg,FURNITURE,CLOTHING,INTERIOR DESIGN,13.190336,7.5536866,8.63296
1069,206-to-61-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.179668,7.535488,8.60895
1070,206-to-62-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.309835,7.5058374,8.766194
1071,206-to-63-H-O.jpg,FURNITURE,ORNAMENTS,TRANSPORT,13.036876,7.578627,8.436725
1072,206-to-64-H-O.jpg,FURNITURE,OFFICE EQUIPMENT,CLOTHING,13.188185,7.5288453,8.635571
1073,206-to-65-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.140274,7.5272417,8.564028
1074,206-to-66-H-O.jpg,FURNITURE,INTERIOR DESIGN,CLOTHING,13.195261,7.569614,8.594818
1075,206-to-67-H-O.jpg,FURNITURE,ORNAMENTS,CLOTHING,13.114252,7.6109285,8.502764
1076,206-to-68-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.161452,7.6051636,8.562139
1077,206-to-69-H-O.jpg,FURNITURE,CLOTHING,TRANSPORT,13.251165,7.519883,8.701466
1078,206-to-7-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.271543,7.517479,8.715931
1079,206-to-70-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.113891,7.5243964,8.539953
1080,206-to-71-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.087203,7.541687,8.46904
1081,206-to-72-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.298613,7.503638,8.753309
1082,206-to-73-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.281294,7.505076,8.735249
1083,206-to-74-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.173419,7.592093,8.579187
1084,206-to-75-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.183007,7.502912,8.622837
1085,206-to-76-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.215213,7.5243225,8.664371
1086,206-to-77-H-O.jpg,INTERIOR DESIGN,FURNITURE,TRANSPORT,10.392662,8.426019,4.8206854
1087,206-to-85-H-O.jpg,FURNITURE,CLOTHING,OFFICE EQUIPMENT,13.128291,7.468397,8.538048
1088,206-to-88-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.136679,7.6231446,8.543046
1089,206-to-9-H-O.jpg,FURNITURE,CLOTHING,ORNAMENTS,13.142363,7.5302796,8.599838
1090,2064-O--2065-O--copy-neg--CoID-.jpg,INTERIOR DESIGN,FURNITURE,OTHER,11.277972,7.8862486,4.5012474
1091,2066-2067-2068-O--please-return-to-the-CoID-.jpg,FURNITURE,OTHER,INTERIOR DESIGN,11.485431,7.5036397,7.2654076
